201506,9,개화,1,0,2593,203,16028,3106,46451,4135,29740,5644,13348,3676,9400,3001,7263,3068,6154,2801,5534,3510,5032,4100,4997,4872,5614,6048,7554,7301,9259,11352,5403,17001,3572,11036,2913,8222,1622,7446,605,5329,187,1889,0,89,,,,,20150708
201506,8,모란,1,0,2237,429,3119,3015,7992,9180,8729,7356,5598,5239,5418,4882,6404,5095,6823,4559,7404,5100,6873,5021,7906,5271,8948,5826,10451,6235,11816,7302,8051,6125,5202,3889,5219,3458,6587,3243,2597,2088,608,1183,2,406,,,,,20150708
201506,8,수진,4,0,4064,554,6018,2119,14347,7460,18357,10099,10143,6927,6781,5227,6369,5280,7436,4730,7068,6120,6855,6804,6878,6634,8892,7783,10225,8465,9109,12405,6117,11655,4723,7698,4263,6812,3485,7322,1311,4775,183,1703,0,267,,,,,20150708
201506,8,신흥,3,0,5958,788,8780,2132,16853,3340,20219,5695,11412,4803,7207,4776,7188,4843,7101,6271,6775,7434,6729,8189,7106,8517,7688,10383,8491,11602,7793,17253,5762,16997,4705,11686,4647,9661,3473,9271,1740,6343,285,1904,0,266,,,,,20150708
201506,8,단대오거리,6,0,10204,1624,19845,5620,52138,12997,58310,24892,28414,14022,17536,9563,16317,8815,17108,10250,16115,10963,14181,11420,14667,13993,15881,18254,17953,22554,24813,36354,16086,38832,10986,27964,9592,24343,7384,25740,3557,16856,660,4845,1,107,,,,,20150708
201506,8,남한산성입구,15,0,10909,1332,21526,5417,64622,15329,69608,34844,33367,27428,20794,16440,19220,11912,19072,13587,18024,15693,16507,12891,17718,15935,19702,20376,22646,23530,28946,36872,15480,39006,10310,26083,8938,24854,6218,28122,2662,17154,426,5207,0,17,,,,,20150708
201506,8,산성,2,0,6586,1273,12245,3823,32248,4698,36516,12310,18799,8820,11201,6858,9816,6253,9952,6137,9212,6773,9031,7086,8645,9016,9717,12263,11519,14829,9685,22318,5947,23440,4696,17202,4255,15955,2829,17295,1318,10267,275,3753,0,21,,,,,20150708
201506,8,복정,6,0,1973,3599,6572,19079,18076,11524,23350,20117,11708,18939,7259,10610,8005,7070,8546,6718,9217,6715,9788,6041,11495,5202,16394,6310,25123,7772,30049,10605,17091,10868,10263,7237,8571,6292,6979,6132,3217,3406,384,1422,,,,,,,20150708
201506,8,장지,1,0,3053,3326,9527,15801,27491,16969,31662,43262,18028,26088,12354,14013,11527,13008,12599,16391,13816,14312,13616,14070,17033,14775,22881,16139,29804,19095,41108,24560,24567,23897,15581,14812,14543,13353,16249,12414,4544,7787,695,2618,,,,,,,20150708
201506,8,문정,,,1594,1895,4740,19394,14739,14054,17950,18709,9824,7744,6566,4989,5700,4385,5925,4693,6181,5289,6043,4833,6277,6020,10063,6592,18674,8679,19261,11291,8679,12042,6108,7838,5603,6772,9998,7412,1993,4313,304,1493,,,,,,,20150708
201506,8,가락시장,11,0,2511,2652,4346,5987,9099,13508,11697,38275,9493,15223,8588,9224,8683,8084,7905,7750,8485,8852,8539,8392,9318,8237,10369,9258,12223,10308,22461,14855,12434,13439,8597,9758,8590,8070,7780,6919,3987,4642,763,2287,2,491,,,,,20150708
201506,8,송파,2,1,1687,875,4782,3938,12252,17745,15581,23820,9358,10783,6416,6469,6129,5131,7296,5370,6657,5759,6541,6550,8224,6556,13706,7837,11184,8840,17821,12272,9049,10675,6121,7176,5426,6467,5069,5825,1700,4195,222,1077,0,105,,,,,20150708
201506,8,석촌,,,3455,949,7727,5172,24185,11421,32099,30240,15975,20553,11532,11311,11232,9562,11939,9764,12241,10601,11243,11480,11692,11854,11913,13107,15216,16095,23260,23654,14262,23557,9082,15125,9627,13900,8419,11615,3534,8994,535,2549,0,84,,,,,20150708
201506,8,잠실,3,0,1415,1595,3032,8846,7306,25623,9532,53642,7763,26694,7012,15595,7758,18211,9655,17180,11760,17856,13167,17134,16684,18285,18158,17852,23812,20025,39703,25118,27639,18377,25099,10213,22586,7713,17430,7259,7173,4077,1107,1581,3,66,,,,,20150708
201506,8,몽촌토성,,,1617,947,4355,4270,11777,10560,14581,33209,8747,12722,7446,8840,6264,8770,7148,8474,7824,9578,7885,9905,9375,10210,11175,9894,12555,11402,24032,14503,13073,12885,9052,7848,8930,6637,7338,6836,2858,3548,298,1391,1,0,0,1,,,20150708
201506,8,강동구청,,,4425,1265,11495,6613,35519,16145,41297,37087,21133,14725,13958,10313,12976,9221,12135,9538,12546,10838,11676,12283,11776,12667,14068,16767,16822,19141,28002,29934,13084,28822,9112,18086,8671,15771,6213,16803,2611,8807,400,3433,0,2,,,,,20150708
201506,8,천호,7,0,12548,1515,21789,13313,57716,19996,72739,35747,38068,28223,24034,20427,22762,18713,22835,21140,22816,24060,21692,25504,23074,28528,25330,33450,30920,40932,39153,66825,27813,65795,23972,37155,19356,31883,16169,30610,8722,20183,1618,7213,2,481,,,,,20150708
201506,8,암사,5,0,12054,984,24232,7207,80855,9697,91269,20199,43347,14603,24498,10708,20774,11086,20250,12202,19990,14297,16549,15902,16033,20907,16655,24769,20900,31002,23136,51669,17229,54966,11254,32698,9314,31920,6695,29379,3215,20786,681,5554,2,948,,,,,20150708
201506,7,부평구청,35,0,7266,689,28524,5438,66344,12185,49409,13023,24732,7089,15797,5277,13309,5395,13431,6605,12231,7100,10747,8332,10332,9243,11933,12117,18001,14916,16867,25351,11274,34221,8565,23759,7605,21084,6245,21639,2999,13688,486,6954,0,2005,,,,,20150708
201506,7,굴포천,3,0,4991,349,13801,3386,37876,5739,35148,12986,17102,8989,11493,5642,10410,6288,10451,7553,9939,7823,8548,8870,8852,9762,9775,11655,11181,16914,13539,25771,9031,31330,6789,22744,6633,18890,5526,17924,2671,11481,404,4402,0,818,,,,,20150708
